"","sex","networks","relationships","interested_in","bio","favorite_quotations","religious_views","political_views","friendlist","photos_albums","myposts","websites","address","im_screen_name","email","facebookuri","phone","family","brithday","current_city","hometown","activities","interests","employers","grad_school","college","high_school"
"sex",1,-0.0244553468681607,0.334593195811633,0.156879602487629,0.272675691418213,0.0585407608409133,0.036739994154525,0.170675046467003,0.0712125239134622,0.255592429228608,0.240045366182996,0.229201958505917,0.127264351114136,0.119555430181776,0.131010546298909,0.0478264165030301,0.124913624641567,-0.213138058853881,0.442997190937573,0.411360594972849,0.379433001030152,0.122134824506674,0.0636262772186024,0.0659531915742843,0.10690606876464,-0.127906904582861,0.0717201092399708
"networks",-0.0244553468681607,1,0.0454615336024077,0.0145373372286983,0.411998170371049,0.145744046649457,0.152071971758106,0.0406561916438089,0.186419094945117,0.0235874597129799,-0.0100672189877594,0.024076036158801,0.216453143777986,0.205002764694319,-0.0466160468783699,0.0386702818129444,-0.0705968089209735,0.202013451052741,-0.0162800698288088,-0.0504458414905872,-0.0241644864928799,0.00819283208746588,0.0313197307355405,0.0342767456494017,0.041181728650211,0.115371385474261,0.0230964041010781
"relationships",0.334593195811633,0.0454615336024077,1,0.078167958657372,0.114161252948586,0.19071825930496,0.179931826237614,0.192654072988257,0.0968216102687518,0.274510863480787,0.26536579293374,0.104344942234841,0.0621280823278254,0.057850692087827,0.200328654921848,0.14418464211394,0.0704125241527728,-0.0693940131519916,0.205346432787053,0.193083485375687,0.167300795715952,0.0766503210557287,0.0187420946270608,0.0181229144844899,0.0266665221028349,-0.0382275203941686,0.0239230765726057
"interested_in",0.156879602487629,0.0145373372286983,0.078167958657372,1,0.0714253289249134,0.0716796695306989,0.083084030773942,0.128080927486901,0.0764554695679917,0.103986233988877,0.110425405817228,0.0577923873092041,0.0663338543268587,0.0562613361827871,0.0206003835837533,0.0335719709992866,0.00331969118694417,-0.0130470320748518,0.344218603552355,0.0657853130985996,0.0964842503338631,0.0452046615165347,0.0162654471095567,0.00648862746551978,0.0167610269327346,0.0298910380267703,0.0297420653234843
"bio",0.272675691418213,0.411998170371049,0.114161252948586,0.0714253289249134,1,0.147855135182238,0.145382264157888,0.115178629391284,0.139204909144949,0.169052474159619,0.154230529998111,0.166288009648569,0.377665295933026,0.340357670472602,0.0773304626249953,0.0653589277771917,0.0531003564490541,-0.015273284322715,0.216195428055241,0.185457343672391,0.181326663051561,0.0895871332888646,0.119733854943288,0.156689335187958,0.257607736289498,0.00862435443020228,0.140316364579217
"favorite_quotations",0.0585407608409133,0.145744046649457,0.19071825930496,0.0716796695306989,0.147855135182238,1,0.630028709906572,0.205092358889688,0.168144828069893,0.202686894746947,0.188068603431738,0.155456493732442,0.141107708512159,0.118556698225066,0.26220042105773,0.28160052462548,0.0154310199183745,0.120742129831797,0.162028190440909,0.16758021640503,0.161547194755305,0.12518924604958,0.0588350531272382,0.062597057257769,0.0562521838204882,0.143639173455239,0.0459672174906258
"religious_views",0.036739994154525,0.152071971758106,0.179931826237614,0.083084030773942,0.145382264157888,0.630028709906572,1,0.199935081066734,0.168828894281909,0.178557418395837,0.194720033083156,0.163008750870061,0.169847724588859,0.150003945357786,0.242258606942475,0.322691114143645,0.0290561950956901,0.152241357706685,0.174305875965366,0.162975303046374,0.163195395824297,0.11277011507242,0.0540512381862333,0.0545121129460258,0.052467295406792,0.164551335902179,0.047205131737048
"political_views",0.170675046467003,0.0406561916438089,0.192654072988257,0.128080927486901,0.115178629391284,0.205092358889688,0.199935081066734,1,0.220942779321741,0.439744560290676,0.435120412905787,0.155839665167987,0.11899486271258,0.112551242228981,0.137232629540815,0.141314088624699,0.0427114547481899,0.00289984448591384,0.220054558620668,0.177561487232158,0.191262649874989,0.120033501438459,0.0301863606035054,0.0449255825785353,0.0442655814756588,0.0582460457209358,0.0314429240890472
"friendlist",0.0712125239134622,0.186419094945117,0.0968216102687518,0.0764554695679917,0.139204909144949,0.168144828069893,0.168828894281909,0.220942779321741,1,0.187818561930552,0.210118737854371,0.0685226889042421,0.0972360653801054,0.0936987716308038,0.0268280647459091,0.0761380516296471,-0.00465826278540713,0.137375763498337,0.105161257389965,0.0336808559495366,0.0531787774028536,0.0593962732621693,0.0399220121634473,0.032084353562694,0.0402054953432341,0.0808542020245143,0.0354439749299205
"photos_albums",0.255592429228608,0.0235874597129799,0.274510863480787,0.103986233988877,0.169052474159619,0.202686894746947,0.178557418395837,0.439744560290676,0.187818561930552,1,0.656880586491905,0.162976778325185,0.102766581814376,0.0907537889017302,0.200013923445564,0.13104865140143,0.0842650689177398,0.000499998517090539,0.263239621971028,0.232068381264349,0.196312123145738,0.108744055387592,0.023028756762919,0.0409302577896122,0.0462043846484518,-0.00855364086244348,0.0259487403225062
"myposts",0.240045366182996,-0.0100672189877594,0.26536579293374,0.110425405817228,0.154230529998111,0.188068603431738,0.194720033083156,0.435120412905787,0.210118737854371,0.656880586491905,1,0.190625862682413,0.119894757789373,0.102989209052644,0.231831322787309,0.148487051768718,0.105828950621248,-0.0400739705639832,0.288319751590271,0.259288532004875,0.22058243528432,0.113826516999069,0.0329083993639327,0.0458413532834625,0.0497495120166858,-0.0124843126431749,0.0295227862548605
"websites",0.229201958505917,0.024076036158801,0.104344942234841,0.0577923873092041,0.166288009648569,0.155456493732442,0.163008750870061,0.155839665167987,0.0685226889042421,0.162976778325185,0.190625862682413,1,0.271343588718548,0.260190289471881,0.202591753444954,0.253427984608728,0.0440563992587261,0.0325793263749601,0.291362728373963,0.334128042111143,0.489051014420647,0.180810422023007,0.0894585280420691,0.0894277705937191,0.090322899071226,0.0492666616558873,0.0759389126668218
"address",0.127264351114136,0.216453143777986,0.0621280823278254,0.0663338543268587,0.377665295933026,0.141107708512159,0.169847724588859,0.11899486271258,0.0972360653801054,0.102766581814376,0.119894757789373,0.271343588718548,1,0.657216543917067,0.105064070384902,0.162090728280661,0.0135808269971025,0.0290497897336855,0.191664809554356,0.17787597149187,0.222247019956543,0.113041687920831,0.146559512565821,0.120308337678988,0.154524443165785,0.0840396935169404,0.136298939333796
"im_screen_name",0.119555430181776,0.205002764694319,0.057850692087827,0.0562613361827871,0.340357670472602,0.118556698225066,0.150003945357786,0.112551242228981,0.0936987716308038,0.0907537889017302,0.102989209052644,0.260190289471881,0.657216543917067,1,0.0871955600670119,0.137686409942809,0.0148491402568704,0.0487582675479481,0.173521978400276,0.17073607747378,0.195422066747228,0.0931592064113139,0.123563952865209,0.110320573877577,0.127540073911459,0.0681910782934621,0.130482116062754
"email",0.131010546298909,-0.0466160468783699,0.200328654921848,0.0206003835837533,0.0773304626249953,0.26220042105773,0.242258606942475,0.137232629540815,0.0268280647459091,0.200013923445564,0.231831322787309,0.202591753444954,0.105064070384902,0.0871955600670119,1,0.446674273257128,0.0774060298577211,-0.0181586908045421,0.219972393486415,0.230883605393965,0.224983115873116,0.155599496736281,0.0407539604895575,0.0689701219663991,0.0747239911685365,0.0313231809018231,0.044738998737796
"facebookuri",0.0478264165030301,0.0386702818129444,0.14418464211394,0.0335719709992866,0.0653589277771917,0.28160052462548,0.322691114143645,0.141314088624699,0.0761380516296471,0.13104865140143,0.148487051768718,0.253427984608728,0.162090728280661,0.137686409942809,0.446674273257128,1,0.0385264217308607,0.125294529767903,0.153542098243375,0.171475977667276,0.206782478329858,0.133363642846759,0.0576737880541928,0.0694626810789432,0.0531663422462954,0.103676813176036,0.0454300612614661
"phone",0.124913624641567,-0.0705968089209735,0.0704125241527728,0.00331969118694417,0.0531003564490541,0.0154310199183745,0.0290561950956901,0.0427114547481899,-0.00465826278540713,0.0842650689177398,0.105828950621248,0.0440563992587261,0.0135808269971025,0.0148491402568704,0.0774060298577211,0.0385264217308607,1,-0.0669499918185822,0.0858399817003574,0.106350126951552,0.0544836731214732,0.00289853849369961,-0.00856160904461013,0.00238826652292504,-0.00927472218541043,-0.0771543118251797,0.000599090352342729
"family",-0.213138058853881,0.202013451052741,-0.0693940131519916,-0.0130470320748518,-0.015273284322715,0.120742129831797,0.152241357706685,0.00289984448591384,0.137375763498337,0.000499998517090539,-0.0400739705639832,0.0325793263749601,0.0290497897336855,0.0487582675479481,-0.0181586908045421,0.125294529767903,-0.0669499918185822,1,-0.0562960941443379,-0.0628002981463932,-0.0633040832685504,0.0237713665154201,0.0171782569920825,0.0210901558778682,-0.0102921898182564,0.175106397574528,0.0121067806435231
"brithday",0.442997190937573,-0.0162800698288088,0.205346432787053,0.344218603552355,0.216195428055241,0.162028190440909,0.174305875965366,0.220054558620668,0.105161257389965,0.263239621971028,0.288319751590271,0.291362728373963,0.191664809554356,0.173521978400276,0.219972393486415,0.153542098243375,0.0858399817003574,-0.0562960941443379,1,0.475786699621075,0.379810817912565,0.151926629899012,0.0664845886344495,0.0777658826178731,0.0971766303072645,0.0116720186594486,0.0847844668263648
"current_city",0.411360594972849,-0.0504458414905872,0.193083485375687,0.0657853130985996,0.185457343672391,0.16758021640503,0.162975303046374,0.177561487232158,0.0336808559495366,0.232068381264349,0.259288532004875,0.334128042111143,0.17787597149187,0.17073607747378,0.230883605393965,0.171475977667276,0.106350126951552,-0.0628002981463932,0.475786699621075,1,0.408457964746486,0.130286406753996,0.0667659752084818,0.0882228552069647,0.100059948259698,-0.0202440889208389,0.0861062400253239
"hometown",0.379433001030152,-0.0241644864928799,0.167300795715952,0.0964842503338631,0.181326663051561,0.161547194755305,0.163195395824297,0.191262649874989,0.0531787774028536,0.196312123145738,0.22058243528432,0.489051014420647,0.222247019956543,0.195422066747228,0.224983115873116,0.206782478329858,0.0544836731214732,-0.0633040832685504,0.379810817912565,0.408457964746486,1,0.238075240403171,0.103039968358147,0.0975067677339405,0.12743290390604,0.0343869592299594,0.0892746438316261
"activities",0.122134824506674,0.00819283208746588,0.0766503210557287,0.0452046615165347,0.0895871332888646,0.12518924604958,0.11277011507242,0.120033501438459,0.0593962732621693,0.108744055387592,0.113826516999069,0.180810422023007,0.113041687920831,0.0931592064113139,0.155599496736281,0.133363642846759,0.00289853849369961,0.0237713665154201,0.151926629899012,0.130286406753996,0.238075240403171,1,0.0947243329564881,0.121290535417261,0.121488930741414,0.119199288512707,0.0696591066224784
"interests",0.0636262772186024,0.0313197307355405,0.0187420946270608,0.0162654471095567,0.119733854943288,0.0588350531272382,0.0540512381862333,0.0301863606035054,0.0399220121634473,0.023028756762919,0.0329083993639327,0.0894585280420691,0.146559512565821,0.123563952865209,0.0407539604895575,0.0576737880541928,-0.00856160904461013,0.0171782569920825,0.0664845886344495,0.0667659752084818,0.103039968358147,0.0947243329564881,1,0.35174080008548,0.309880784685121,0.0537270017016321,0.44638539364804
"employers",0.0659531915742843,0.0342767456494017,0.0181229144844899,0.00648862746551978,0.156689335187958,0.062597057257769,0.0545121129460258,0.0449255825785353,0.032084353562694,0.0409302577896122,0.0458413532834625,0.0894277705937191,0.120308337678988,0.110320573877577,0.0689701219663991,0.0694626810789432,0.00238826652292504,0.0210901558778682,0.0777658826178731,0.0882228552069647,0.0975067677339405,0.121290535417261,0.35174080008548,1,0.382967822009687,0.0508421311845995,0.38761942593618
"grad_school",0.10690606876464,0.041181728650211,0.0266665221028349,0.0167610269327346,0.257607736289498,0.0562521838204882,0.052467295406792,0.0442655814756588,0.0402054953432341,0.0462043846484518,0.0497495120166858,0.090322899071226,0.154524443165785,0.127540073911459,0.0747239911685365,0.0531663422462954,-0.00927472218541043,-0.0102921898182564,0.0971766303072645,0.100059948259698,0.12743290390604,0.121488930741414,0.309880784685121,0.382967822009687,1,0.0391037214066884,0.341479734601361
"college",-0.127906904582861,0.115371385474261,-0.0382275203941686,0.0298910380267703,0.00862435443020228,0.143639173455239,0.164551335902179,0.0582460457209358,0.0808542020245143,-0.00855364086244348,-0.0124843126431749,0.0492666616558873,0.0840396935169404,0.0681910782934621,0.0313231809018231,0.103676813176036,-0.0771543118251797,0.175106397574528,0.0116720186594486,-0.0202440889208389,0.0343869592299594,0.119199288512707,0.0537270017016321,0.0508421311845995,0.0391037214066884,1,0.0471889965400346
"high_school",0.0717201092399708,0.0230964041010781,0.0239230765726057,0.0297420653234843,0.140316364579217,0.0459672174906258,0.047205131737048,0.0314429240890472,0.0354439749299205,0.0259487403225062,0.0295227862548605,0.0759389126668218,0.136298939333796,0.130482116062754,0.044738998737796,0.0454300612614661,0.000599090352342729,0.0121067806435231,0.0847844668263648,0.0861062400253239,0.0892746438316261,0.0696591066224784,0.44638539364804,0.38761942593618,0.341479734601361,0.0471889965400346,1
